index,date,number_of_articles_per_date
0,20160106,2
1,20160107,1
2,20160108,2
3,20160109,1
4,20160110,1
5,20160111,3
6,20160112,2
7,20160113,1
8,20160114,1
9,20160115,2
10,20160116,1
11,20160117,1
12,20160118,2
13,20160119,4
14,20160120,1
15,20160121,2
16,20160122,4
17,20160124,1
18,20160126,2
19,20160127,2
20,20160128,1
21,20160130,2
22,20160201,2
23,20160202,2
24,20160206,2
25,20160207,1
26,20160208,2
27,20160209,1
28,20160210,1
29,20160211,1
30,20160212,1
31,20160213,2
32,20160214,1
33,20160217,3
34,20160218,2
35,20160221,1
36,20160224,13
37,20160225,16
38,20160226,15
39,20160227,7
40,20160228,2
41,20160301,4
42,20160302,1
43,20160303,2
44,20160305,1
45,20160306,2
46,20160307,5
47,20160309,4
48,20160315,2
49,20160317,3
50,20160318,4
51,20160319,2
52,20160320,1
53,20160321,1
54,20160322,2
55,20160323,3
56,20160324,6
57,20160325,2
58,20160326,1
59,20160327,1
60,20160329,2
61,20160330,1
62,20160331,2
63,20160404,3
64,20160406,1
65,20160410,2
66,20160412,4
67,20160418,2
68,20160419,2
69,20160420,1
70,20160422,3
71,20160423,1
72,20160424,1
73,20160425,2
74,20160427,5
75,20160428,8
76,20160502,2
77,20160503,5
78,20160504,2
79,20160505,2
80,20160506,3
81,20160509,1
82,20160511,2
83,20160512,2
84,20160515,1
85,20160517,3
86,20160519,2
87,20160520,6
88,20160521,2
89,20160526,1
90,20160527,2
91,20160530,3
92,20160601,2
93,20160602,1
94,20160606,7
95,20160607,3
96,20160611,5
97,20160614,1
98,20160615,1
99,20160616,4
100,20160617,3
101,20160618,1
102,20160620,2
103,20160701,1
104,20160707,1
105,20160708,1
106,20160714,1
107,20160717,1
108,20160718,1
109,20160720,1
110,20160721,1
111,20160722,1
112,20160726,1
113,20160727,2
114,20160729,3
115,20160801,1
116,20160802,1
117,20160804,1
118,20160805,1
119,20160806,3
120,20160807,1
121,20160811,5
122,20160812,10
123,20160815,1
124,20160819,6
125,20160823,1
126,20160825,1
127,20160828,1
128,20160902,1
129,20160904,4
130,20160907,1
131,20160908,1
132,20160909,1
133,20160910,1
134,20160911,2
135,20160912,2
136,20160913,1
137,20160915,3
138,20160916,3
139,20160918,1
140,20160921,3
141,20160922,2
142,20160923,1
143,20160924,1
144,20160928,1
145,20160929,5
146,20160930,9
147,20161001,2
148,20161002,1
149,20161004,1
150,20161007,2
151,20161008,1
152,20161010,1
153,20161011,2
154,20161014,1
155,20161015,2
