index,article_index,date,sentiment,size,callout_flag,callout_text
0,0,20161015,-0.427781,0.149082,0,
1,2,20161014,-0.0248364,0.0,0,
2,4,20161011,-0.51277,0.856132,0,
3,5,20161010,-0.69228,0.807094,0,
4,6,20161008,-0.614993,0.912234,0,
5,7,20161007,-0.541437,0.851864,0,
6,8,20161007,0.117746,0.608408,0,
7,11,20161001,-0.695226,0.664654,0,
8,13,20160930,-0.716049,0.950738,0,
9,15,20160930,-0.284147,0.84603,0,
10,16,20160930,-0.362251,0.45488,0,
11,20,20160930,-0.671232,0.287784,0,
12,21,20160930,-0.29078,0.938726,0,
13,24,20160929,-0.408316,0.972782,0,
14,26,20160928,0.0868328,0.507224,0,
15,27,20160929,-0.530853,0.926268,0,
16,29,20160923,-0.645488,0.930128,0,
17,32,20160921,-0.387981,0.938966,0,
18,33,20160921,-0.62625,0.912274,0,
19,34,20160921,0.122833,0.905128,0,
20,37,20160916,-0.782501,0.922562,0,
21,41,20160915,-0.740419,0.973544,0,
22,50,20160907,-0.649109,0.405248,0,
23,51,20160904,0.259406,0.816904,0,
24,61,20160819,-0.682579,0.770346,0,
25,63,20160819,0.404732,0.393978,0,
26,70,20160812,-0.575258,0.94317,0,
27,72,20160811,-0.0554968,0.926268,0,
28,78,20160811,-0.359506,0.85561,0,
29,79,20160811,-0.176296,0.382546,0,
30,80,20160811,-0.0249566,0.899476,0,
31,81,20160806,-0.322784,0.685284,0,
32,82,20160807,0.625293,0.891512,0,
33,83,20160806,-0.1475,0.534088,0,
34,88,20160801,-0.093693,0.952408,0,
35,90,20160729,-0.5538,0.002352,0,
36,93,20160727,-0.344724,0.908296,0,
37,94,20160726,0.805948,0.924556,0,
38,95,20160722,-0.273223,0.245036,0,
39,96,20160721,-0.0992254,0.96098,0,
40,101,20160708,-0.67588,0.943746,0,
41,107,20160617,-0.78121,0.73308,0,
42,109,20160617,-0.184316,0.61837,0,
43,110,20160616,-0.45989,0.702726,0,
44,112,20160616,-0.417283,0.910306,0,
45,113,20160616,-0.630682,0.93139,0,
46,114,20160615,0.288911,0.867914,0,
47,115,20160614,0.372515,0.560376,0,
48,116,20160611,-0.715831,0.919144,0,
49,121,20160607,-0.5049,0.0758,0,
50,124,20160606,-0.151674,0.652212,0,
51,126,20160606,0.000365412,0.958016,0,
52,127,20160606,-0.501135,0.341406,0,
53,128,20160606,-0.440211,0.583508,0,
54,129,20160606,-0.558734,0.723654,0,
55,131,20160602,-0.627765,0.623368,0,
56,132,20160601,-0.225663,0.175426,0,
57,133,20160601,-0.559707,0.352986,0,
58,135,20160530,-0.305597,0.3528,0,
59,146,20160520,-0.63256,0.94376,0,
60,147,20160520,-0.685234,0.914034,0,
61,149,20160519,-0.451322,0.63516,0,
62,151,20160517,-0.852347,0.252204,0,
63,152,20160517,-0.240241,0.533802,0,
64,153,20160515,0.136293,0.817868,0,
65,154,20160512,-0.10287,0.864618,0,
66,155,20160512,-0.395212,0.941616,0,
67,158,20160509,-0.0210626,0.618018,0,
68,163,20160505,-0.174142,0.910636,0,
69,164,20160504,0.313564,0.91554,0,
70,166,20160504,0.569377,0.690242,0,
71,167,20160503,-0.258687,0.969136,0,
72,168,20160503,-0.365893,0.931556,0,
73,171,20160502,-0.767539,0.868288,0,
74,173,20160428,-0.395974,0.977518,0,
75,175,20160428,-0.606993,0.909514,0,
76,180,20160428,0.177129,0.943394,0,
77,181,20160427,-0.2885,0.879274,0,
78,183,20160427,0.425272,0.895906,0,
79,184,20160427,-0.637463,0.9008,0,
80,185,20160427,-0.528228,0.935194,0,
81,190,20160422,-0.51935,0.844148,0,
82,194,20160419,0.00852475,0.437768,0,
83,195,20160419,-0.56506,0.944908,0,
84,199,20160412,-0.482046,0.729812,0,
85,201,20160412,-0.663604,0.931372,0,
86,205,20160404,-0.770962,0.797218,0,
87,206,20160404,0.10311,0.975846,0,
88,207,20160404,-0.329148,0.6002,0,
89,209,20160331,-0.409642,0.964454,0,
90,211,20160329,-0.395725,0.960594,0,
91,212,20160329,-0.321861,0.74924,0,
92,214,20160324,-0.396451,0.893056,0,
93,215,20160326,0.129925,0.71527,0,
94,216,20160325,-0.455403,0.840422,0,
95,219,20160324,-0.317933,0.9008,0,
96,221,20160324,-0.165817,0.335716,0,
97,223,20160323,-0.223659,0.97499,0,
98,224,20160323,-0.509677,0.549964,0,
99,225,20160323,-0.304592,0.921322,0,
100,226,20160322,-0.496062,0.87112,0,
101,227,20160322,-0.889492,0.755838,0,
102,229,20160320,-0.0434627,0.091122,0,
103,232,20160318,-0.832363,0.197034,0,
104,233,20160318,-0.601258,0.464294,0,
105,234,20160318,-0.252053,0.560892,0,
106,237,20160317,0.241284,0.093288,0,
107,238,20160317,-0.615072,0.972954,0,
108,239,20160315,-0.537205,0.882534,0,
109,241,20160309,-0.466509,0.901522,0,
110,242,20160309,-0.158228,0.896502,0,
111,246,20160307,-0.0422231,0.894242,0,
112,247,20160307,-0.617905,0.901946,0,
113,249,20160307,-0.229955,0.357926,0,
114,256,20160301,-0.690427,0.366662,0,
115,258,20160301,-0.4699,0.91509,0,
116,259,20160301,-0.544483,0.864822,0,
117,261,20160228,-0.664863,0.266312,0,
118,262,20160227,-0.725894,0.380202,0,
119,263,20160227,-0.440984,0.34853,0,
120,269,20160226,-0.554145,0.97644,0,
121,270,20160226,-0.357994,0.884592,0,
122,273,20160226,-0.245054,0.922084,0,
123,274,20160226,-0.459542,0.890314,0,
124,279,20160226,-0.734582,0.963088,0,
125,280,20160226,-0.928018,0.819606,0,
126,281,20160226,-0.535984,0.977772,0,
127,282,20160226,-0.651553,0.011424,0,
128,283,20160226,-0.461431,0.668842,0,
129,284,20160225,-0.478877,0.96688,0,
130,286,20160224,-0.62837,0.957582,0,
131,287,20160225,-0.747106,0.600516,0,
132,288,20160225,-0.570771,0.915228,0,
133,289,20160225,-0.613642,0.934968,0,
134,290,20160225,-0.564799,0.228526,0,
135,291,20160225,-0.429758,0.97016,0,
136,294,20160225,-0.697923,0.961302,0,
137,295,20160225,-0.588077,0.744544,0,
138,297,20160225,-0.679913,0.965112,0,
139,298,20160225,-0.535818,0.688462,0,
140,302,20160224,-0.480895,0.930966,0,
141,303,20160224,-0.584469,0.830108,0,
142,304,20160224,-0.322576,0.965402,0,
143,306,20160224,-0.481053,0.956108,0,
144,307,20160224,-0.615706,0.928754,0,
145,308,20160224,-0.713166,0.207058,0,
146,309,20160224,-0.520697,0.950746,0,
147,310,20160224,-0.662953,0.956986,0,
148,311,20160224,-0.901474,0.91982,0,
149,312,20160224,-0.618686,0.912534,0,
150,317,20160217,-0.575244,0.516268,0,
151,318,20160217,-0.675922,0.975598,0,
152,321,20160213,-0.443305,0.644866,0,
153,325,20160209,-0.489378,0.922222,0,
154,326,20160208,-0.46129,0.85289,0,
155,329,20160206,-0.489145,0.917068,0,
156,331,20160202,0.518487,0.541544,0,
157,334,20160201,-0.475818,0.959806,0,
158,336,20160130,-0.206025,0.640092,0,
159,339,20160127,-0.343714,0.91636,0,
160,344,20160122,-0.574022,0.952254,0,
161,345,20160121,-0.508465,0.659638,0,
162,346,20160122,-0.56279,0.967466,0,
163,348,20160121,-0.629356,0.842366,0,
164,350,20160119,-0.47613,0.089838,0,
165,351,20160119,-0.0808657,0.0,0,
166,352,20160119,-0.614572,0.861886,0,
167,353,20160119,-0.411242,0.905662,0,
168,355,20160118,-0.469319,0.95403,0,
169,356,20160117,-0.386459,0.939224,0,
170,358,20160115,-0.614164,0.90798,0,
171,361,20160113,-0.247371,0.446258,0,
172,362,20160112,-0.676474,0.89736,0,
173,363,20160112,-0.552245,0.935322,0,
174,364,20160111,-0.392501,0.844088,0,
175,365,20160111,-0.557218,0.593932,0,
176,368,20160109,-0.430571,0.967948,0,
177,370,20160108,-0.520688,0.800776,0,
178,371,20160107,-0.424621,0.631938,0,
179,372,20160106,0.224745,0.936838,0,
180,373,20160106,-0.597467,0.478706,0,
