index,article_index,date,sentiment_score,sentiment_score_alchemy,relevance,entity,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,callout_flag,callout_text
0,6,20161008,-0.614993,-0.281019,0.956117,South Yorkshire Police,0.115993,0.317991,0.271697,0.237687,0.153572,0,
1,6,20161008,-0.614993,-0.256198,0.956117,Rotherham South Yorkshire Police,0.138601,0.336574,0.137573,0.113322,0.381701,0,
2,18,20160930,-0.00146552,-0.503196,0.928154,South Yorkshire Police,0.219282,0.589649,0.185666,0.013337,0.122632,0,
3,21,20160930,-0.29078,0.0727882,0.969363,South Yorkshire Police,0.140233,0.174291,0.593632,0.110537,0.074942,0,
4,22,20160929,-0.410556,-0.671288,0.917181,South Yorkshire Police,0.17254,0.386176,0.057733,0.113434,0.355179,0,
5,30,20160922,-0.413384,-0.396603,0.487415,West Yorkshire Police,0.076149,0.697083,0.129274,0.008994,0.182605,0,
6,32,20160921,-0.387981,-0.207836,0.969483,South Yorkshire Police and Crime Panel,0.067989,0.41501,0.358429,0.04576,0.23574,0,
7,32,20160921,-0.387981,-0.449697,0.969483,South Yorkshire Police,0.277654,0.401785,0.251775,4.3e-05,0.304793,0,
8,32,20160921,-0.387981,-0.207836,0.969483,Police Reform,0.067989,0.41501,0.358429,0.04576,0.23574,0,
9,32,20160921,-0.387981,-0.458457,0.969483,Police and Crime Panel,0.231872,0.351615,0.483374,0.000679,0.139486,1,Police and Crime Panel
10,41,20160915,-0.740419,-0.540026,0.986772,South Yorkshire Police,0.241714,0.237581,0.11047,0.003594,0.599436,0,
11,93,20160727,-0.344724,-0.620778,0.954148,Yorkshire Police,0.193239,0.618018,0.078013,0.018397,0.215177,0,
12,93,20160727,-0.344724,-0.416858,0.954148,Independent Police Complaints Commission,0.179728,0.778569,0.130734,0.001236,0.051655,0,
13,103,20160701,0.0,-0.458263,0.907257,South Yorkshire Police,0.246877,0.029355,0.043839,0.617353,0.102692,0,
14,107,20160617,-0.78121,-0.410761,0.86654,South Yorkshire Police,0.20322,0.198141,0.31606,0.00574,0.43897,0,
15,109,20160617,-0.184316,-0.242749,0.809185,Yorkshire Police,0.061794,0.149826,0.171268,0.39354,0.3339,0,
16,110,20160616,-0.45989,-0.667278,0.851363,South Yorkshire Police,0.33992,0.378846,0.241007,0.003466,0.224793,0,
17,110,20160616,-0.45989,-0.469954,0.851363,Yorkshire Police,0.133207,0.170479,0.34985,0.023845,0.475114,0,
18,112,20160616,-0.417283,-0.271209,0.955153,South Yorkshire Police,0.139146,0.464187,0.298973,0.004549,0.288399,0,
19,112,20160616,-0.417283,-0.271209,0.955153,Yorkshire Police,0.119394,0.227043,0.279968,0.121253,0.344117,0,
20,113,20160616,-0.630682,-0.27425,0.965695,South Yorkshire Police,0.138862,0.474977,0.275907,0.089922,0.162423,0,
21,123,20160607,0.0,-0.283094,0.763072,South Yorkshire Police,0.176724,0.334968,0.142555,0.017025,0.472298,0,
22,124,20160606,-0.151674,-0.332724,0.812247,South Yorkshire Police,0.103634,0.629175,0.127765,0.004808,0.310346,0,
23,143,20160520,-0.138111,-0.393661,0.79467,Sussex Police,0.118209,0.4691,0.25908,0.003039,0.333158,0,
24,143,20160520,-0.138111,-0.49616,0.79467,Independent Police Complaints Commission,0.200331,0.771272,0.127882,0.00095,0.092471,0,
25,149,20160519,-0.451322,0.227601,0.81758,South Yorkshire Police,0.066507,0.241745,0.563605,0.050314,0.194937,0,
26,154,20160512,-0.10287,-0.235008,0.932309,Yorkshire Police,0.0,0.0,0.0,0.0,0.0,0,
27,163,20160505,-0.174142,-0.257436,0.955318,police chief,0.074715,0.248358,0.09853,0.506631,0.131003,0,
28,163,20160505,-0.174142,-0.282572,0.955318,police commissioner,0.043146,0.10493,0.116297,0.260003,0.533612,1,Police Commissioner
29,164,20160504,0.313564,-0.30565,0.95777,South Yorkshire Police,0.04798,0.069307,0.271628,0.157974,0.527625,0,
30,165,20160503,0.0,0.41394,0.957358,Yorkshire Police,0.121807,0.426061,0.162095,0.021441,0.420074,0,
31,167,20160503,-0.258687,-0.617612,0.984568,police chief,0.469836,0.398115,0.286219,0.000309,0.058801,0,
32,169,20160503,0.0,0.0900746,0.96142,South Yorkshire Police,0.092352,0.223982,0.218835,0.148464,0.415909,0,
33,170,20160503,-0.332028,-0.210964,0.983817,Independent Police Complaints Commission,0.084743,0.108146,0.1995,0.159703,0.527939,0,
34,171,20160502,-0.767539,-0.258199,0.89227,South Yorkshire Police,0.250357,0.365896,0.284388,0.063009,0.143618,0,
35,173,20160428,-0.395974,-0.477213,0.988759,South Yorkshire Police,0.153588,0.257327,0.300133,0.02849,0.3803,0,
36,174,20160428,-0.613841,-0.489707,0.955655,South Yorkshire Police,0.345034,0.165483,0.050972,0.009674,0.574818,0,
37,174,20160428,-0.613841,-0.587643,0.955655,police chief,0.111332,0.085605,0.182039,0.258563,0.449598,0,
38,175,20160428,-0.606993,-0.229531,0.954757,South Yorkshire Police,0.168488,0.412855,0.07791,0.047876,0.404631,0,
39,175,20160428,-0.606993,-0.583682,0.954757,police chief,0.061384,0.294537,0.371516,0.010095,0.389398,0,
40,175,20160428,-0.606993,-0.229531,0.954757,Yorkshire Police,0.113642,0.374952,0.013718,0.412811,0.178525,0,
41,180,20160428,0.177129,-0.2532,0.971697,South Yorkshire Police,0.145809,0.321149,0.084208,0.141182,0.408095,1,South Yorkshire Police
42,180,20160428,0.177129,-0.313617,0.971697,force.Kent Police,0.201262,0.529544,0.197372,0.031701,0.209357,0,
43,182,20160427,-0.185469,-0.693907,0.965393,Yorkshire Police,0.13641,0.10346,0.075823,0.022643,0.766615,0,
44,184,20160427,-0.637463,-0.225304,0.9504,South Yorkshire Police,0.004804,0.10213,0.720408,0.015423,0.22038,0,
45,185,20160427,-0.528228,-0.643624,0.799984,South Yorkshire Police,0.38115,0.594663,0.105805,0.000166,0.10521,0,
46,185,20160427,-0.528228,-0.576351,0.799984,Yorkshire Police,0.234029,0.707821,0.155105,0.007008,0.054514,0,
47,185,20160427,-0.528228,-0.207205,0.799984,Merseyside Police,0.115643,0.174557,0.485307,0.020382,0.311882,0,
48,185,20160427,-0.528228,-0.350504,0.799984,Sheffield City Police,0.324438,0.542987,0.306124,5e-06,0.031771,0,
49,185,20160427,-0.528228,-0.207205,0.799984,West Yorkshire Police,0.115643,0.174557,0.485307,0.020382,0.311882,0,
50,188,20160424,0.136253,-0.348254,0.952255,Lancashire Police,0.061622,0.542087,0.178405,0.001346,0.398555,0,
51,188,20160424,0.136253,-0.251,0.952255,Police Commissioner,0.105827,0.117769,0.525521,0.01077,0.362175,0,
52,190,20160422,-0.51935,-0.58307,0.867712,Kent Police,0.072482,0.141061,0.133359,0.016088,0.752864,0,
53,194,20160419,0.00852475,-0.56147,0.718884,police services,0.173436,0.378136,0.199319,0.178209,0.161758,0,
54,198,20160412,-0.206543,-0.63184,0.964792,South Yorkshire Police,0.171255,0.753496,0.132404,0.002885,0.111584,0,
55,198,20160412,-0.206543,-0.63184,0.964792,South Yorkshire Police and Crime,0.171255,0.753496,0.132404,0.002885,0.111584,0,
56,207,20160404,-0.329148,-0.39891,0.8001,Metropolitan Police,0.233144,0.543784,0.095447,0.04846,0.189573,0,
57,207,20160404,-0.329148,-0.39793,0.8001,West Yorkshire Police,0.12048,0.32729,0.244808,0.064987,0.357444,0,
58,212,20160329,-0.321861,-0.645772,0.87462,South Yorkshire Police,0.15335,0.397091,0.441047,0.008005,0.16885,0,
59,212,20160329,-0.321861,-0.645772,0.87462,record.The Metropolitan Police,0.15335,0.397091,0.441047,0.008005,0.16885,0,
60,215,20160326,0.129925,-0.264433,0.835258,Independent Police Complaints Commission,0.336063,0.468438,0.163115,0.022047,0.138558,0,
61,216,20160325,-0.455403,0.375843,0.920211,South Yorkshire Police,0.098583,0.288156,0.048561,0.53667,0.087708,0,
62,216,20160325,-0.455403,-0.551327,0.920211,police chief,0.194376,0.726155,0.147825,0.026596,0.048841,0,
63,218,20160324,0.0,-0.34902,0.975965,South Yorkshire Police,0.220921,0.259557,0.35292,9.9e-05,0.369802,0,
64,219,20160324,-0.317933,-0.427895,0.9504,South Yorkshire Police,0.228007,0.23226,0.146165,0.037867,0.454657,0,
65,219,20160324,-0.317933,-0.427895,0.9504,Yorkshire Police,0.196184,0.230636,0.0965,0.137079,0.426527,0,
66,221,20160324,-0.165817,0.0533441,0.620606,South Yorkshire Police,0.207021,0.154482,0.193025,0.024233,0.486564,0,
67,223,20160323,-0.223659,-0.366929,0.987495,South Yorkshire Police,0.21744,0.303504,0.234457,0.006761,0.372523,0,
68,224,20160323,-0.509677,-0.732341,0.774982,South Yorkshire Police,0.238753,0.187183,0.58158,0.002381,0.184296,0,
69,224,20160323,-0.509677,-0.507788,0.774982,South Yorkshire Police Federation,0.295614,0.202559,0.072172,0.060074,0.511971,0,
70,224,20160323,-0.509677,-0.269932,0.774982,West Yorkshire Police,0.124819,0.364768,0.335998,0.143601,0.160415,0,
71,225,20160323,-0.304592,-0.393742,0.960661,South Yorkshire Police,0.129042,0.17921,0.260254,0.012712,0.547816,0,
72,225,20160323,-0.304592,-0.207546,0.960661,Police Authority,0.141015,0.29956,0.169819,0.037756,0.478792,0,
73,253,20160303,-0.668274,-0.424848,0.952126,London Assembly Police and Crime Committee,0.141863,0.500273,0.107364,0.012944,0.370986,0,
74,274,20160226,-0.459542,-0.327604,0.633438,police car,0.054172,0.051907,0.103295,0.211579,0.631662,0,
75,284,20160225,-0.478877,-0.620783,0.732853,South Yorkshire Police,0.217527,0.668346,0.049433,0.009583,0.139304,0,
76,284,20160225,-0.478877,-0.604997,0.732853,Independent Police Complaints Commission,0.35266,0.558155,0.048521,0.007673,0.159248,0,
77,289,20160225,-0.613642,-0.547932,0.441989,police commissioner,0.101226,0.546295,0.237065,0.00955,0.286467,0,
78,298,20160225,-0.535818,-0.423275,0.844231,South Yorkshire Police,0.233111,0.392307,0.12492,0.127957,0.225677,0,
79,298,20160225,-0.535818,-0.295537,0.844231,Independent Police Complaints Commission,0.46138,0.605976,0.113323,7.9e-05,0.026899,1,Independent Police Complaints Commission
80,302,20160224,-0.480895,-0.407334,0.668838,Independent Police Complaints Commission,0.152338,0.397619,0.122848,0.007366,0.476378,0,
81,308,20160224,-0.713166,-0.64168,0.603529,South Yorkshire Police,0.079681,0.75139,0.247359,0.002583,0.056517,0,
82,309,20160224,-0.520697,-0.506812,0.756681,South Yorkshire Police,0.268696,0.555791,0.029389,0.062222,0.20311,0,
83,313,20160221,0.00917558,-0.0643086,0.697928,West Mercia Police,0.067875,0.49634,0.105387,0.132828,0.279954,0,
84,315,20160218,-0.15796,-0.716964,0.974989,West Mercia Police,0.088497,0.349776,0.091335,0.008593,0.592478,0,
85,342,20160124,-0.656819,-0.46677,0.983274,South Yorkshire Police,0.139583,0.507061,0.080492,0.00428,0.414521,0,
86,342,20160124,-0.656819,-0.559008,0.983274,Wiltshire Police,0.070512,0.479014,0.056751,0.010412,0.471821,0,
87,342,20160124,-0.656819,-0.684696,0.983274,Leicestershire Police,0.069238,0.757068,0.103272,0.025204,0.126736,0,
88,342,20160124,-0.656819,-0.332409,0.983274,Independent Police Complaints Commission,0.701372,0.171751,0.122202,7.3e-05,0.17445,0,
89,342,20160124,-0.656819,-0.496979,0.983274,Metropolitan Police,0.209799,0.801734,0.103899,0.001701,0.035012,0,
90,365,20160111,-0.557218,-0.493984,0.796966,Independent Police Complaints Commission,0.236687,0.60218,0.109658,0.00575,0.186586,0,
